---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,003
TRIAL:,2
TRIAL DATE TIME:,04-06-2024 15:42
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Physical Demand,Effort
Physical Demand vs. Performance,Performance
Mental Demand vs. Effort,Mental Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Effort,Effort
Effort vs. Performance,Effort
Performance vs. Frustration,Performance
Performance vs. Mental Demand,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Frustration,Temporal Demand
Temporal Demand vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Effort,Effort
