---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,001
TRIAL:,2
TRIAL DATE TIME:,04-01-2024 14:38
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Effort
Performance vs. Mental Demand,Performance
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Effort
Effort vs. Physical Demand,Effort
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Effort
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Mental Demand,Mental Demand
Effort vs. Performance,Performance
