---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,IML-Test
STUDY GROUP:,
SUBJECT ID:,008
TRIAL:,2
TRIAL DATE TIME:,04-09-2024 16:47
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Effort vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Mental Demand
Physical Demand vs. Performance,Performance
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Effort,Effort
Performance vs. Mental Demand,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Effort vs. Physical Demand,Effort
