---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,IML-Test
STUDY GROUP:,
SUBJECT ID:,008
TRIAL:,1
TRIAL DATE TIME:,04-09-2024 16:35
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Effort,Mental Demand
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Frustration vs. Effort,Effort
Performance vs. Frustration,Performance
Physical Demand vs. Frustration,Frustration
Effort vs. Performance,Performance
