GSR Conductance CAL (u Siemens)_002 ,GSR Conductance CAL (u Siemens)_001 ,GSR Conductance CAL (u Siemens)_004 ,GSR Conductance CAL (u Siemens)_003 ,GSR Conductance CAL (u Siemens)_005 ,GSR Conductance CAL (u Siemens)_006 ,GSR Conductance CAL (u Siemens)_007
-0.2308074964781569                 ,-1.05561780999009                   ,-0.6408110635961374                 ,-1.3285793311564051                 ,-2.4132599527378633                 ,-0.47953104624968756                ,-0.9283682645647012
-0.2308074964781569                 ,-1.056215856605038                  ,-0.6408110635961374                 ,-1.3291219596460944                 ,-2.405812428966093                  ,-0.49216601505664925                ,-0.9229691647715476
-0.23300083763625426                ,-1.0556178099900897                 ,-0.6349178659031112                 ,-1.3293028358093242                 ,-2.405812095698819                  ,-0.487954358787662                  ,-0.9211694648404963
-0.23245250234672993                ,-1.0553187866826157                 ,-0.6363911653263676                 ,-1.3291219596460944                 ,-2.4020881671792966                 ,-0.4858485306531684                 ,-0.9202696148749707
-0.2321235011730153                 ,-1.0553785913441105                 ,-0.6337392263645059                 ,-1.3292304853440322                 ,-2.3998538100675835                 ,-0.48458503377247225                ,-0.9197297048956553
-0.23300083763625426                ,-1.0556178099900897                 ,-0.6349178659031112                 ,-1.3294836634151947                 ,-2.3983642386597745                 ,-0.487954358787662                  ,-0.9175697721061518
-0.2336275065385678                 ,-1.0554469395286759                 ,-0.6357597512878292                 ,-1.3295095098038503                 ,-2.396236469944204                  ,-0.4903610195127976                 ,-0.9175698139450434
-0.23409750821530295                ,-1.0554682983363528                 ,-0.6363911653263676                 ,-1.3295288945953418                 ,-2.3946406434075262                 ,-0.48900727285490886                ,-0.914870075773453
-0.23446306507498582                ,-1.0554849107423234                 ,-0.6368822651341198                 ,-1.3297851075014577                 ,-2.391744439707495                  ,-0.487954358787662                  ,-0.9151700745740021
-0.23475551056273214                ,-1.0554982006671                    ,-0.6355071856724137                 ,-1.3298815521284126                 ,-2.38942747674747                   ,-0.48711202753386457                ,-0.9143300779324652
-0.23559291222733106                ,-1.055400338493745                  ,-0.6359893563927522                 ,-1.330157754333612                  ,-2.3875317797801765                 ,-0.4864228474171213                 ,-0.9136428079530261
-0.2357424628710909                 ,-1.0553187866826157                 ,-0.6334444288654871                 ,-1.3301166571504597                 ,-2.3853313220096326                 ,-0.4858485306531684                 ,-0.9139700793718067
-0.23586900572350308                ,-1.0553417884754983                 ,-0.6326511243771465                 ,-1.3302488228119924                 ,-2.3834693962037874                 ,-0.48536257031443913                ,-0.9134162354323319
-0.23644742880563288                ,-1.0553615042979692                 ,-0.6319711491014258                 ,-1.330284589309065                  ,-2.3808095278313814                 ,-0.48494603288124255                ,-0.912941512055639
-0.2369487288101454                 ,-1.055298851795451                  ,-0.6313818371958014                 ,-1.3304602684475009                 ,-2.3785043085752964                 ,-0.4845850337724722                 ,-0.912530085129172
-0.23697615325653937                ,-1.0553187866826157                 ,-0.63086618927838                   ,-1.33047834878022                   ,-2.376487241726222                  ,-0.4842691595522982                 ,-0.9121700865685134
-0.23700035129747524                ,-1.0553363762889376                 ,-0.6304112058218317                 ,-1.3306219621687723                 ,-2.3738312975921247                 ,-0.48547691392355186                ,-0.9112172525687373
-0.23738738338502216                ,-1.0553520114945574                 ,-0.6300067760826776                 ,-1.3306893426455284                 ,-2.3718842652270156                 ,-0.48514658794167054                ,-0.9109701889903982
-0.23773367525282735                ,-1.0552401132384834                 ,-0.6305754227939124                 ,-1.330749630440521                  ,-2.3697501560806757                 ,-0.48485103311577665                ,-0.9101808058104993
-0.238045337933852                  ,-1.0551991934145688                 ,-0.6302032251800697                 ,-1.3308038894560141                 ,-2.3678294578489707                 ,-0.48458503377247225                ,-0.9094703609485905
-0.23832731845477909                ,-1.0551621707167416                 ,-0.6298664749580215                 ,-1.330904645976471                  ,-2.36609168325838                   ,-0.4831412331282081                 ,-0.9083132938440176
-0.2385836643828946                 ,-1.0551828815928028                 ,-0.6295603383925232                 ,-1.3309962428132498                 ,-2.3638348405604095                 ,-0.482977133724639                  ,-0.9082431490401365
-0.2388177193607392                 ,-1.0550977973769917                 ,-0.6292808223979378                 ,-1.3310798747077002                 ,-2.362098006965303                  ,-0.4817287896602167                 ,-0.9077096168458836
-0.23903226975709677                ,-1.055069627351292                  ,-0.6290245994029012                 ,-1.3312017563184204                 ,-2.359885282522142                  ,-0.4805844742678296                 ,-0.9072205456678185
-0.23922965612174568                ,-1.0549958800424064                 ,-0.6287888742474674                 ,-1.331227078495699                  ,-2.357849576034434                  ,-0.48054233714710387                ,-0.9063386019112081
-0.2394118589198832                 ,-1.054927805603435                  ,-0.628571281796298                  ,-1.3313339229137484                 ,-2.3559704623534716                 ,-0.4805034413433571                 ,-0.9059398829366354
-0.23982424702633903                ,-1.0548204739662432                 ,-0.6283698073044742                 ,-1.331392658227521                  ,-2.3542305422785073                 ,-0.48046742671025816                ,-0.9055706987009201
-0.23997219994944552                ,-1.0547635264899184                 ,-0.6281827238477807                 ,-1.3314859573395734                 ,-2.3523489549242567                 ,-0.4804339845509521                 ,-0.9048421720241928
-0.24033682539236778                ,-1.0547105064257543                 ,-0.6280085426984455                 ,-1.3315728220301046                 ,-2.350340286574658                  ,-0.48040284874746025                ,-0.9041638885665504
-0.24067714247242852                ,-1.054661021032534                  ,-0.6278459736257326                 ,-1.3316900612624416                 ,-2.3487138135674854                 ,-0.47953159446397575                ,-0.9035308240060841
-0.24099550361184022                ,-1.0545761445927508                 ,-0.6276938928802915                 ,-1.3317647377818786                 ,-2.3467117888980806                 ,-0.47871655013426445                ,-0.9029386023204865
-0.24108836065126146                ,-1.0545339508438885                 ,-0.6281038044651618                 ,-1.3318347470188505                 ,-2.3450675946445747                 ,-0.47795244607516013                ,-0.9020459507531666
-0.24137496601922903                ,-1.0544580690425358                 ,-0.6279531276788557                 ,-1.3319005132717638                 ,-2.343297396286131                  ,-0.4772346513529712                 ,-0.9012073992808359
-0.2416447122479044                 ,-1.0544218300892012                 ,-0.6278113142329204                 ,-1.3319943216755417                 ,-2.34163132724289                   ,-0.4765590798497345                 ,-0.9004181743657012
-0.24189904440636972                ,-1.0543534878409169                 ,-0.6281827356432981                 ,-1.3320517705809543                 ,-2.340060462144978                  ,-0.4759221124323972                 ,-0.8999825680053257
-0.24213924700047584                ,-1.0542889423842043                 ,-0.6285335225308768                 ,-1.3321060278805108                 ,-2.3381631160096283                 ,-0.4746185893823028                 ,-0.8992712120097958
-0.24236646567057626                ,-1.0542602127151488                 ,-0.628387521125098                  ,-1.3322160070183238                 ,-2.3365695865294316                 ,-0.47338552703761905                ,-0.8988901509217624
-0.24275488397578435                ,-1.0542015189963094                 ,-0.6287144564532833                 ,-1.332291638386268                  ,-2.334667952086521                  ,-0.4728823610693377                 ,-0.8982449825334596
-0.2431233833935459                 ,-1.0541458352117696                 ,-0.6285713029677391                 ,-1.3324190379562306                 ,-2.3328638373586306                 ,-0.472404998484045                  ,-0.8976328997035312
-0.243308957253562                  ,-1.054122837947204                  ,                                    ,-1.33248581198233                   ,-2.3313361414564744                 ,-0.471319755587669                  ,-0.8967814220946051
-0.24364596710758446                ,-1.0541009625004225                 ,                                    ,-1.3326022609977564                 ,-2.329519673463118                  ,-0.4709037913109679                 ,-0.8959714799787974
-0.2439669288733202                 ,-1.0540801287415829                 ,                                    ,-1.3326614928549576                 ,-2.328144347934768                  ,-0.469905969675683                  ,-0.8952001065351711
-0.2441199383831079                 ,-1.0540324478731564                 ,                                    ,-1.3327936785698233                 ,-2.3266597695571876                 ,-0.46895455834901595                ,-0.8944646109261319
-0.24441553890323006                ,-1.0540141182539744                 ,                                    ,-1.332845867670514                  ,-2.3250734328338165                 ,-0.46862070975569575                ,-0.8937625469356856
